X,Y,Z
# Scan parameters: Height: 100cm, Layer height: 0.50cm
# Data points below:
-4.749,3.774,0.000
-4.750,3.744,0.000
-5.168,4.041,0.000
-4.800,3.723,0.000
-4.800,3.693,0.000
-4.836,3.691,0.000
-4.829,3.656,0.000
-5.202,3.906,0.000
-4.879,3.634,0.000
-4.872,3.599,0.000
-5.305,3.886,0.000
-4.907,3.565,0.000
-5.310,3.826,0.000
-4.899,3.501,0.000
-5.353,3.793,0.000
-5.013,3.523,0.000
-5.427,3.783,0.000
-4.990,3.449,0.000
-5.405,3.704,0.000
-5.024,3.414,0.000
-5.038,3.395,0.000
-5.080,3.395,0.000
-5.094,3.375,0.000
-5.490,3.606,0.000
-5.075,3.305,0.000
-5.103,3.295,0.000
-5.109,3.270,0.000
-5.114,3.245,0.000
-5.533,3.481,0.000
-5.117,3.191,0.000
-5.190,3.208,0.000
-5.172,3.169,0.000
-5.177,3.144,0.000
-5.189,3.124,0.000
-5.201,3.104,0.000
-5.198,3.074,0.000
-5.225,3.063,0.000
-5.237,3.042,0.000
-5.693,3.277,0.000
-5.284,3.014,0.000
-5.273,2.980,0.000
-5.703,3.194,0.000
-5.296,2.939,0.000
-5.308,2.918,0.000
-5.327,2.901,0.000
-5.354,2.889,0.000
-5.310,2.838,0.000
-5.361,2.838,0.000
-5.803,3.043,0.000
-5.375,2.792,0.000
-5.834,3.001,0.000
-5.413,2.758,0.000
-5.934,2.994,0.000
-5.854,2.925,0.000
-5.453,2.698,0.000
-5.431,2.661,0.000
-5.458,2.647,0.000
-5.460,2.622,0.000
-5.470,2.600,0.000
-5.480,2.579,0.000
-5.442,2.535,0.000
-5.501,2.536,0.000
-5.494,2.507,0.000
-5.528,2.496,0.000
-5.554,2.482,0.000
-5.523,2.442,0.000
-5.549,2.427,0.000
-5.501,2.380,0.000
-5.568,2.384,0.000
-5.586,2.365,0.000
-5.578,2.336,0.000
-5.596,2.318,0.000
-5.605,2.296,0.000
-5.597,2.267,0.000
-5.648,2.262,0.000
-5.632,2.230,0.000
-6.109,2.391,0.000
-5.665,2.192,0.000
-5.674,2.170,0.000
-5.674,2.144,0.000
-6.101,2.278,0.000
-5.699,2.103,0.000
-5.699,2.077,0.000
-5.716,2.058,0.000
-5.715,2.032,0.000
-5.748,2.019,0.000
-5.739,1.990,0.000
-5.756,1.971,0.000
-5.755,1.945,0.000
-5.771,1.925,0.000
-5.778,1.903,0.000
-5.777,1.877,0.000
-5.793,1.857,0.000
-5.809,1.837,0.000
-5.808,1.812,0.000
-5.815,1.789,0.000
-5.822,1.766,0.000
-5.828,1.743,0.000
-5.818,1.715,0.000
-5.842,1.697,0.000
-6.322,1.810,0.000
-5.855,1.651,0.000
-6.329,1.758,0.000
-5.894,1.612,0.000
