X,Y,Z
# Scan parameters: Height: 20cm, Layer height: 0.50cm
# Data points below:
-1.770,-2.140,0.000
-1.742,-2.123,0.000
-1.611,-1.978,0.000
-1.735,-2.149,0.000
-1.585,-1.978,0.000
-1.577,-1.985,0.000
-1.569,-1.991,0.000
-1.581,-2.022,0.000
-1.679,-2.164,0.000
-1.546,-2.009,0.000
-1.548,-2.028,0.000
-1.544,-2.040,0.000
-1.522,-2.027,0.000
-1.622,-2.178,0.000
-1.506,-2.039,0.000
-1.618,-2.209,0.000
-1.619,-2.228,0.000
-1.477,-2.050,0.000
-1.479,-2.069,0.000
-1.466,-2.068,0.000
-1.462,-2.081,0.000
-1.454,-2.086,0.000
-1.441,-2.085,0.000
-1.424,-2.078,0.000
-1.425,-2.097,0.000
-1.417,-2.102,0.000
-1.487,-2.226,0.000
-1.391,-2.100,0.000
-1.474,-2.244,0.000
-1.392,-2.138,0.000
-1.375,-2.130,0.000
-1.439,-2.248,0.000
-1.363,-2.147,0.000
-1.462,-2.325,0.000
-1.350,-2.164,0.000
-1.341,-2.170,0.000
-1.435,-2.342,0.000
-1.373,-2.261,0.000
-1.299,-2.158,0.000
-1.307,-2.191,0.000
-1.406,-2.377,0.000
-1.290,-2.201,0.000
-1.281,-2.206,0.000
-1.280,-2.225,0.000
-1.361,-2.386,0.000
-1.348,-2.384,0.000
-1.266,-2.260,0.000
-1.214,-2.189,0.000
-1.282,-2.332,0.000
